epoch,upstream_bytes,llvm_bytes,iso_bytes,winsdk_bytes,total_bytes
1786730737,516113375,0,1552509017,0,2068626692
1786730745,516113375,0,988270592,0,2068626692
1786730755,516113375,0,1034948608,0,2068626692
1786730765,516113375,0,1053691904,0,2068626692
1786730775,516113375,0,1092538368,0,2068626692
1786730785,516113375,0,1129697280,0,2068626692
1786730795,516113375,0,1157926912,0,2068626692
1786730805,516113375,0,1182175232,0,2068626692
1786730815,516113375,0,1203113984,0,2068626692
1786730825,516113375,0,1229754368,0,2068626692
1786730835,516113375,0,1255936000,0,2068626692
1786730845,516113375,0,1283805184,0,2068626692
1786730855,516113375,0,1316327424,0,2068626692
1786730865,516113375,0,1332416512,0,2068626692
1786730875,516113375,0,1353256960,0,2068626692
1786730885,516113375,0,1363333120,0,2068626692
1786730895,516113375,0,1367429120,0,2068626692
1786730905,516113375,0,1375735808,0,2068626958
1786730915,516113375,0,1375735808,0,2068626958
1786730925,516113375,0,1375735808,0,2068626958
1786730935,516113375,0,1375735808,0,2068626958
1786730945,516113375,0,1375735808,0,2068626958
1786730955,516113375,0,1375735808,0,2068626958
1786730966,516113375,0,1375735808,0,2068626958
1786730976,516113375,0,1375735808,0,2068626958
1786730986,516113375,0,1375735808,0,2068626958
1786730996,516113375,0,1375735808,0,2068626958
1786731006,516113375,0,1375735808,0,2068626958
1786731016,516113375,0,1375735808,0,2068626958
1786731026,516113375,0,1375735808,0,2068626958
1786731036,516113375,0,1375735808,0,2068626958
1786731046,516113375,0,1375735808,0,2068626958
1786731056,516113375,0,1375735808,0,2068626958
1786731066,516113375,0,1375735808,0,2068626958
1786731076,516113375,0,1375735808,0,2068626958
1786731086,516113375,0,1375735808,0,2068626958
1786731096,516113375,0,1375735808,0,2068626958
1786731106,516113375,0,1375735808,0,2068626958
1786731116,516113375,0,1375735808,0,2068626958
1786731126,516113375,0,1375735808,0,2068626958
1786731136,516113375,0,1375735808,0,2068626958
1786731146,516113375,0,1375735808,0,2068626958
1786731156,516113375,0,1375735808,0,2068626958
1786731166,516113375,0,1375735808,0,2068626958
1786731176,516113375,0,1375735808,0,2068626958
1786731186,516113375,0,1375735808,0,2068626958
1786731197,516113375,0,1375735808,0,2068626958
1786731207,516113375,0,1375735808,0,2068626958
1786731217,516113375,0,1375735808,0,2068626958
1786731227,516113375,0,1375735808,0,2068626958
1786731237,516113375,0,1375735808,0,2068626958
1786731247,516113375,0,1375735808,0,2068626958
1786731257,516113375,0,1375735808,0,2068626958
1786731267,516113375,0,1375735808,0,2068626958
1786731277,516113375,0,1375735808,0,2068626958
1786731287,516113375,0,1423904768,0,2068626958
1786731297,516113375,0,1453297664,0,2068626958
1786731307,516113375,0,1482985472,0,2068626958
1786731317,516113375,0,1511493632,0,2068626958
1786731327,516113375,0,1528303616,0,2068626958
1786731337,516113375,0,1543737344,0,2068626958
1786731347,516113375,0,1548730368,0,2068626958
1786731357,516113375,26214400,1552510976,0,3113556883
1786731367,516113375,141893632,1552510976,0,3113556915
1786731377,516113375,259719168,1552510976,0,3113556915
1786731387,516113375,377683968,1552510976,0,3113556915
1786731397,516113375,495374336,1552510976,0,3113556915
1786731407,516113375,610701312,1552510976,0,3113556915
1786731417,516113375,728387584,1552510976,0,3113556915
1786731427,516113375,846098432,1552510976,0,3113556915
1786731437,516113375,963739648,1552510976,0,3113556915
1786731447,516113375,1044930560,1552510976,554193286,3716190709
1786731458,516113375,1044930560,1552510976,585863777,4016453520
1786731468,516113375,1044930560,1552510976,585863777,4461208652
1786731478,516113375,1044930560,1552510976,585863777,4691360684
1786731488,516113375,1044930560,1552510976,585863777,4794437555
1786731498,516113375,1044930560,1552510976,585863777,4794437555
1786731508,516113375,1044930560,1552510976,585863777,4919059617
1786731518,516113375,1044930560,1552510976,585863777,4919059617
1786731528,516113375,1044930560,1552510976,585863777,4919059617
1786731538,516113375,1044930560,1552510976,585863777,4919059617
1786731548,516113375,1044930560,1552510976,585936891,4920987931
1786731558,516113375,1044930560,1552510976,585936891,4991599894
1786731568,516113375,1044930560,1552510976,585936891,5024982344
1786731578,516113375,1044930560,1552510976,585936891,5056035391
1786731588,516113375,1044930560,1552510976,585936891,5099609728
1786731599,516113375,1044930560,1552510976,585936891,5129218345
1786731609,516113375,1044930560,1552510976,585936891,5153872046
1786731619,516113375,1044930560,1552510976,585936891,5174621893
1786731629,516113375,1044930560,1552510976,585936891,5355032584
